Ország,Gyártó,Alaplap típusa,Ára,Eladott mennyiség,Népszerűségi mutató
Tajvan,ASUS,ROG Maximus Z790 Hero,250000,500,9.5
Tajvan,ASUS,TUF Gaming B550-Plus,60000,2000,8.8
Tajvan,ASUS,Prime Z690-A,120000,1000,9.2
Tajvan,Gigabyte,X670E AORUS Master,230000,450,9.4
Tajvan,Gigabyte,B650 AORUS Elite AX,70000,1800,8.9
Tajvan,Gigabyte,Z790 AORUS Elite AX,130000,900,9.1
Tajvan,MSI,MPG Z790 Carbon WiFi,240000,480,9.3
Tajvan,MSI,MAG B550 Tomahawk,65000,1900,8.7
Tajvan,MSI,PRO Z690-A DDR4,115000,950,9.0
Kína,ASRock,X670E Taichi,220000,460,9.3
Kína,ASRock,B650M PG Riptide WiFi,68000,1700,8.8
Kína,ASRock,Z790 Steel Legend WiFi,125000,850,9.0
USA,EVGA,Z690 DARK K|NGP|N,300000,300,9.6
USA,EVGA,Z590 FTW WIFI,150000,700,8.5
USA,EVGA,B550 DARK,180000,600,8.6
Tajvan,ASUS,ROG Strix Z790-E Gaming WiFi,220000,520,9.4
Tajvan,ASUS,ROG Strix B550-F Gaming,68000,1900,8.9
Tajvan,ASUS,Prime B660-Plus D4,80000,1500,8.7
Tajvan,Gigabyte,Z690 AORUS Ultra,180000,750,9.2
Tajvan,Gigabyte,B550M AORUS Elite,55000,2200,8.6
Tajvan,Gigabyte,H610M H,35000,3000,8.0
Tajvan,MSI,MPG B550 Gaming Plus,62000,2100,8.8
Tajvan,MSI,PRO B660M-A DDR4,75000,1600,8.6
Tajvan,MSI,H610M-G PRO,38000,2800,8.2
Kína,ASRock,B550 Phantom Gaming 4/ac,58000,2000,8.7
Kína,ASRock,H610M-HDV/M.2,36000,2900,8.1
Kína,ASRock,Z690 Phantom Gaming 4,120000,800,8.9
USA,EVGA,Z790 CLASSIFIED,350000,250,9.7
USA,EVGA,B450 DARK,160000,650,8.4
USA,EVGA,H570 DARK,170000,620,8.5
Tajvan,ASUS,ROG Maximus Z690 Apex,280000,350,9.6
